"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 00:00","2018","08","01","00:00","12.8","","12.3","","97","","0.0","","18","","4","","","","92.88","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 01:00","2018","08","01","01:00","12.0","","11.6","","97","","0.0","","21","","7","","","","92.86","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 02:00","2018","08","01","02:00","11.7","","11.5","","99","","0.0","","20","","8","","","","92.86","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 03:00","2018","08","01","03:00","11.1","","10.9","","99","","0.0","","21","","6","","","","92.88","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 04:00","2018","08","01","04:00","11.2","","11.0","","99","","0.0","","20","","6","","","","92.91","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 05:00","2018","08","01","05:00","11.8","","11.7","","100","","0.0","","21","","8","","","","92.88","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 06:00","2018","08","01","06:00","13.5","","13.3","","99","","0.0","","21","","7","","","","92.86","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 07:00","2018","08","01","07:00","15.8","","14.9","","95","","0.0","","18","","4","","","","92.86","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 08:00","2018","08","01","08:00","18.1","","15.7","","86","","0.0","","21","","5","","","","92.83","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 09:00","2018","08","01","09:00","19.4","","15.5","","78","","0.0","","20","","7","","","","92.80","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 10:00","2018","08","01","10:00","20.8","","15.2","","70","","0.0","","20","","13","","","","92.77","","25","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 11:00","2018","08","01","11:00","21.4","","15.2","","68","","0.0","","19","","12","","","","92.71","","25","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 12:00","2018","08","01","12:00","21.7","","15.4","","67","","0.0","","20","","14","","","","92.65","","26","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 13:00","2018","08","01","13:00","20.8","","15.6","","73","","0.0","","19","","14","","","","92.65","","25","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 14:00","2018","08","01","14:00","20.6","","15.9","","74","","0.0","","19","","12","","","","92.62","","25","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 15:00","2018","08","01","15:00","20.0","","16.6","","81","","0.0","","19","","13","","","","92.54","","25","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 16:00","2018","08","01","16:00","20.7","","16.5","","77","","0.0","","19","","16","","","","92.50","","26","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 17:00","2018","08","01","17:00","20.0","","15.4","","75","","0.0","","18","","14","","","","92.46","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 18:00","2018","08","01","18:00","19.3","","15.6","","80","","0.0","","18","","11","","","","92.43","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 19:00","2018","08","01","19:00","18.7","","16.0","","84","","0.0","","18","","9","","","","92.40","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 20:00","2018","08","01","20:00","18.4","","16.1","","87","","0.0","","18","","7","","","","92.40","","","","","","NA"
"-71.23","47.56","L'ETAPE","7015791","2018-08-01 21:00","2018","08","01","21:00","18.4","","16.3","","88","","0.0","","18","","9","","","","92.39","","","","","","NA"
