"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 00:00","2019","07","01","00:00","15.0","","14.6","","98","","","","35","","9","","","","100.00","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 01:00","2019","07","01","01:00","14.9","","14.3","","97","","","","34","","9","","","","99.97","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 02:00","2019","07","01","02:00","14.9","","13.9","","94","","","","33","","14","","","","99.93","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 03:00","2019","07","01","03:00","14.6","","13.8","","95","","","","33","","8","","","","99.98","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 04:00","2019","07","01","04:00","14.6","","13.5","","93","","","","34","","12","","","","100.03","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 05:00","2019","07","01","05:00","14.3","","13.5","","95","","","","32","","16","","","","100.04","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 06:00","2019","07","01","06:00","13.9","","13.3","","96","","","","33","","18","","","","100.12","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 07:00","2019","07","01","07:00","13.9","","12.7","","92","","","","32","","34","","","","100.05","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 08:00","2019","07","01","08:00","14.1","","12.7","","91","","","","33","","33","","","","100.06","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 09:00","2019","07","01","09:00","14.4","","12.3","","88","","","","33","","29","","","","100.15","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 10:00","2019","07","01","10:00","15.6","","12.1","","80","","","","32","","33","","","","100.14","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 11:00","2019","07","01","11:00","15.3","","12.2","","82","","","","33","","30","","","","100.18","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 12:00","2019","07","01","12:00","16.5","","13.0","","80","","","","33","","21","","","","100.18","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 13:00","2019","07","01","13:00","15.8","","12.8","","82","","","","33","","25","","","","100.21","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 14:00","2019","07","01","14:00","15.7","","12.9","","83","","","","32","","27","","","","100.19","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 15:00","2019","07","01","15:00","15.6","","12.7","","83","","","","31","","31","","","","100.22","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 16:00","2019","07","01","16:00","15.4","","13.3","","88","","","","33","","19","","","","100.23","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 17:00","2019","07","01","17:00","14.9","","13.1","","89","","","","33","","18","","","","100.23","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 18:00","2019","07","01","18:00","15.2","","12.6","","85","","","","32","","29","","","","100.27","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 19:00","2019","07","01","19:00","15.4","","12.4","","82","","","","33","","26","","","","100.34","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 20:00","2019","07","01","20:00","15.2","","12.5","","84","","","","32","","27","","","","100.37","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 21:00","2019","07","01","21:00","15.1","","12.4","","84","","","","32","","24","","","","100.39","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 22:00","2019","07","01","22:00","14.8","","12.6","","87","","","","32","","20","","","","100.41","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-01 23:00","2019","07","01","23:00","15.0","","12.5","","85","","","","32","","23","","","","100.44","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 00:00","2019","07","02","00:00","15.1","","12.3","","84","","","","32","","22","","","","100.44","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 01:00","2019","07","02","01:00","14.5","","12.5","","88","","","","31","","25","","","","100.42","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 02:00","2019","07","02","02:00","14.5","","12.4","","88","","","","31","","28","","","","100.38","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 03:00","2019","07","02","03:00","14.4","","12.3","","87","","","","32","","16","","","","100.37","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 04:00","2019","07","02","04:00","13.9","","11.9","","88","","","","29","","18","","","","100.39","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 05:00","2019","07","02","05:00","13.8","","11.6","","86","","","","29","","16","","","","100.42","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 06:00","2019","07","02","06:00","14.1","","11.5","","84","","","","30","","18","","","","100.43","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 07:00","2019","07","02","07:00","14.6","","11.6","","82","","","","31","","14","","","","100.46","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 08:00","2019","07","02","08:00","15.4","","11.9","","80","","","","29","","19","","","","100.47","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 09:00","2019","07","02","09:00","16.3","","12.2","","77","","","","29","","20","","","","100.47","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 10:00","2019","07","02","10:00","17.4","","12.1","","71","","","","31","","16","","","","100.45","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 11:00","2019","07","02","11:00","18.0","","11.6","","66","","","","31","","17","","","","100.46","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 12:00","2019","07","02","12:00","18.4","","12.3","","68","","","","27","","19","","","","100.41","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 13:00","2019","07","02","13:00","18.6","","11.7","","64","","","","28","","18","","","","100.40","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 14:00","2019","07","02","14:00","18.8","","12.5","","67","","","","28","","14","","","","100.40","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 15:00","2019","07","02","15:00","17.7","","12.0","","69","","","","27","","23","","","","100.43","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 16:00","2019","07","02","16:00","16.3","","12.4","","78","","","","26","","20","","","","100.45","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 17:00","2019","07","02","17:00","17.1","","13.3","","78","","","","29","","13","","","","100.43","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 18:00","2019","07","02","18:00","18.9","","13.1","","69","","","","26","","10","","","","100.43","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 19:00","2019","07","02","19:00","19.4","","13.6","","69","","","","27","","5","","","","100.46","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 20:00","2019","07","02","20:00","17.7","","14.0","","79","","","","26","","2","","","","100.47","","","","","","NA"
"-64.30","44.36","LUNENBURG","8203210","2019-07-02 21:00","2019","07","02","21:00","16.6","","14.1","","85","","","","26","","3","","","","100.50","","","","","","NA"
