"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 00:00","2021","05","01","00:00","-3.2","","-3.2","","100","","","","16","","15","","","M","94.27","","","","-8","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 01:00","2021","05","01","01:00","-3.4","","-3.4","","100","","","","15","","13","","","M","94.30","","","","-8","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 02:00","2021","05","01","02:00","-3.5","","-3.5","","100","","","","15","","9","","","M","94.32","","","","-7","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 03:00","2021","05","01","03:00","-3.5","","-3.5","","100","","","","15","","5","","","M","94.33","","","","-6","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 04:00","2021","05","01","04:00","-3.4","","-3.4","","100","","","","11","","17","","","M","94.33","","","","-9","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 05:00","2021","05","01","05:00","-2.9","","-2.9","","100","","","","11","","31","","","M","94.32","","","","-10","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 06:00","2021","05","01","06:00","-2.4","","-2.4","","100","","","","13","","39","","","M","94.32","","","","-11","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 07:00","2021","05","01","07:00","-2.0","","-2.0","","100","","","","14","","35","","","M","94.28","","","","-10","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 08:00","2021","05","01","08:00","-0.9","","-0.9","","100","","","","12","","28","","","M","94.25","","","","-7","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 09:00","2021","05","01","09:00","-1.5","","-1.5","","100","","","","14","","30","","","M","94.20","","","","-8","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 10:00","2021","05","01","10:00","-0.7","","-0.7","","100","","","","13","","34","","","M","94.19","","","","-8","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 11:00","2021","05","01","11:00","-0.1","","0.1","","100","","","","12","","28","","","M","94.17","","","","-6","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 12:00","2021","05","01","12:00","0.5","","0.4","","100","","","","12","","21","","","M","94.14","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 13:00","2021","05","01","13:00","1.6","","1.7","","100","","","","5","","5","","","M","94.11","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 14:00","2021","05","01","14:00","1.0","","1.0","","100","","","","5","","26","","","M","94.06","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 15:00","2021","05","01","15:00","0.7","","0.7","","100","","","","6","","11","","","M","94.03","","","","","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 16:00","2021","05","01","16:00","-0.2","","-0.3","","100","","","","6","","18","","","M","93.98","","","","-5","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 17:00","2021","05","01","17:00","-1.0","","-0.8","","100","","","","7","","11","","","M","93.96","","","","-5","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 18:00","2021","05","01","18:00","-1.0","","-1.0","","100","","","","11","","31","","","M","93.97","","","","-8","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 19:00","2021","05","01","19:00","-1.6","","-1.6","","100","","","","12","","59","","","M","93.95","","","","-11","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 20:00","2021","05","01","20:00","-2.2","","-2.2","","100","","","","9","","39","","","M","93.92","","","","-10","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 21:00","2021","05","01","21:00","-2.5","","-2.5","","100","","","","9","","46","","","M","93.88","","","","-11","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 22:00","2021","05","01","22:00","-2.6","","-2.6","","100","","","","9","","46","","","M","93.82","","","","-11","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-01 23:00","2021","05","01","23:00","-2.6","","-2.6","","100","","","","5","","26","","","M","93.78","","","","-9","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 00:00","2021","05","02","00:00","-2.6","","-2.5","","100","","","","6","","28","","","M","93.73","","","","-10","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 01:00","2021","05","02","01:00","-2.6","","-2.6","","100","","","","6","","31","","","M","93.65","","","","-10","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 02:00","2021","05","02","02:00","-2.6","","-2.6","","100","","","","2","","21","","","M","93.58","","","","-9","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 03:00","2021","05","02","03:00"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 04:00","2021","05","02","04:00","-2.7","","-2.6","","100","","","","10","","26","","","M","93.51","","","","-10","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 05:00","2021","05","02","05:00","-2.6","","-2.6","","100","","","","8","","26","","","M","93.40","","","","-9","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 06:00","2021","05","02","06:00","-2.5","","-2.5","","100","","","","9","","26","","","M","93.46","","","","-9","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 07:00","2021","05","02","07:00","-2.5","","-2.5","","100","","","","11","","30","","","M","93.42","","","","-10","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 08:00","2021","05","02","08:00","-2.2","","-2.2","","100","","","","10","","24","","","M","93.42","","","","-9","","NA"
"-62.59","58.48","SAGLEK","8503249","2021-05-02 09:00","2021","05","02","09:00","-1.9","","-1.9","","100","","","","9","","24","","","M","93.40","","","","-8","","NA"
