"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-84.79","47.97","WAWA A","6059407","2018-09-02 14:00","2018","09","02","14:00","19.9","","19.9","","100","","","","36","","2","","1.2","","97.93","","","","","","Drizzle,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 15:00","2018","09","02","15:00","20.3","","20.3","","100","","","","21","","4","","4.0","","97.98","","28","","","","Drizzle,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 16:00","2018","09","02","16:00","21.1","","21.0","","100","","","","36","","3","","14.5","","97.93","","30","","","","Cloudy"
"-84.79","47.97","WAWA A","6059407","2018-09-02 17:00","2018","09","02","17:00","20.3","","20.3","","100","","","","24","","9","","3.2","","97.93","","28","","","","Moderate Rain Showers,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 18:00","2018","09","02","18:00","18.2","","18.2","","100","","","","16","","8","","3.2","","97.86","","","","","","Rain Showers,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 19:00","2018","09","02","19:00","18.3","","18.3","","100","","","","22","","12","","4.8","","97.87","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-02 20:00","2018","09","02","20:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 21:00","2018","09","02","21:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 22:00","2018","09","02","22:00"
"-84.79","47.97","WAWA A","6059407","2018-09-02 23:00","2018","09","02","23:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 00:00","2018","09","03","00:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 01:00","2018","09","03","01:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 02:00","2018","09","03","02:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 03:00","2018","09","03","03:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 04:00","2018","09","03","04:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 05:00","2018","09","03","05:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 06:00","2018","09","03","06:00","15.7","","15.7","","100","","","","22","","7","","0.4","","98.40","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-03 07:00","2018","09","03","07:00","15.2","","15.2","","100","","","","14","","3","","14.5","","98.50","","","","","","Mainly Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-03 08:00","2018","09","03","08:00","16.8","","16.8","","100","","","","20","","11","","24.1","","98.60","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-03 09:00","2018","09","03","09:00","15.8","","15.8","","100","","","","22","","15","","0.8","","98.72","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-03 10:00","2018","09","03","10:00","16.1","","16.1","","100","","","","28","","7","","1.6","","98.78","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-03 11:00","2018","09","03","11:00","16.2","","16.1","","99","","","","25","","10","","1.6","","98.83","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-03 12:00","2018","09","03","12:00","16.2","","15.9","","98","","","","24","","13","","2.0","","98.87","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-03 13:00","2018","09","03","13:00","17.3","","16.5","","95","","","","23","","10","","2.4","","98.88","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-03 14:00","2018","09","03","14:00","16.6","","15.2","","91","","","","24","","13","","9.7","","98.93","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-03 15:00","2018","09","03","15:00","16.2","","14.9","","92","","","","20","","14","","14.5","","98.93","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-03 16:00","2018","09","03","16:00","16.9","","15.1","","89","","","","24","","10","","24.1","","98.91","","","","","","Mostly Cloudy"
"-84.79","47.97","WAWA A","6059407","2018-09-03 17:00","2018","09","03","17:00","16.4","","14.4","","88","","","","21","","12","","24.1","","98.93","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-03 18:00","2018","09","03","18:00","16.1","","14.3","","89","","","","23","","10","","24.1","","98.95","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-03 19:00","2018","09","03","19:00","14.9","","13.8","","94","","","","20","","4","","24.1","","98.96","","","","","","Mostly Cloudy"
"-84.79","47.97","WAWA A","6059407","2018-09-03 20:00","2018","09","03","20:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 21:00","2018","09","03","21:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 22:00","2018","09","03","22:00"
"-84.79","47.97","WAWA A","6059407","2018-09-03 23:00","2018","09","03","23:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 00:00","2018","09","04","00:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 01:00","2018","09","04","01:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 02:00","2018","09","04","02:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 03:00","2018","09","04","03:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 04:00","2018","09","04","04:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 05:00","2018","09","04","05:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 06:00","2018","09","04","06:00","10.4","","10.2","","98","","","","3","","4","","24.1","","98.91","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-04 07:00","2018","09","04","07:00","10.5","","10.5","","100","","","","35","","3","","24.1","","98.87","","","","","","Mostly Cloudy"
"-84.79","47.97","WAWA A","6059407","2018-09-04 08:00","2018","09","04","08:00","11.3","","11.3","","100","","","","31","","7","","24.1","","98.84","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-04 09:00","2018","09","04","09:00","13.1","","12.8","","98","","","","36","","5","","24.1","","98.80","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-04 10:00","2018","09","04","10:00","15.4","","13.9","","91","","","","3","","3","","24.1","","98.73","","","","","","Cloudy"
"-84.79","47.97","WAWA A","6059407","2018-09-04 11:00","2018","09","04","11:00","17.2","","13.0","","76","","","","36","","3","","24.1","","98.69","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-04 12:00","2018","09","04","12:00","17.0","","15.7","","92","","","","36","","2","","16.1","","98.60","","","","","","Rain"
"-84.79","47.97","WAWA A","6059407","2018-09-04 13:00","2018","09","04","13:00","17.7","","16.6","","93","","","","12","","6","","16.1","","98.52","","","","","","Rain"
"-84.79","47.97","WAWA A","6059407","2018-09-04 14:00","2018","09","04","14:00","17.4","","17.1","","98","","","","16","","8","","4.8","","98.45","","","","","","Rain,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-04 15:00","2018","09","04","15:00","17.3","","17.3","","100","","","","12","","4","","2.0","","98.38","","","","","","Drizzle,Fog"
