"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 00:00","2018","12","01","00:00","-10.8","","-11.4","","95","","","","15","","1","","","","94.93","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 01:00","2018","12","01","01:00","-10.2","","-11.0","","94","","","","","","0","","","","94.94","","","","","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 02:00","2018","12","01","02:00","-9.5","","-10.3","","94","","","","","","0","","","","94.98","","","","","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 03:00","2018","12","01","03:00","-9.0","","-9.8","","94","","","","0","","1","","","","94.99","","","","-10","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 04:00","2018","12","01","04:00","-8.2","","-8.7","","96","","","","4","","2","","","","94.99","","","","-9","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 05:00","2018","12","01","05:00","-7.7","","-8.5","","94","","","","1","","3","","","","95.02","","","","-9","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 06:00","2018","12","01","06:00","-7.8","","-8.5","","95","","","","9","","3","","","","95.07","","","","-9","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 07:00","2018","12","01","07:00","-7.9","","-8.7","","94","","","","","","0","","","","95.09","","","","","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 08:00","2018","12","01","08:00","-7.9","","-8.6","","95","","","","29","","2","","","","95.09","","","","-9","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 09:00","2018","12","01","09:00","-7.7","","-8.5","","94","","","","0","","1","","","","95.11","","","","-8","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 10:00","2018","12","01","10:00","-7.5","","-8.6","","92","","","","35","","3","","","","95.11","","","","-9","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 11:00","2018","12","01","11:00","-7.0","","-8.5","","89","","","","20","","6","","","","95.13","","","","-10","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 12:00","2018","12","01","12:00","-6.4","","-8.1","","88","","","","23","","6","","","","95.13","","","","-9","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 13:00","2018","12","01","13:00","-6.4","","-8.4","","86","","","","18","","5","","","","95.12","","","","-9","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 14:00","2018","12","01","14:00","-6.4","","-8.2","","87","","","","24","","6","","","","95.13","","","","-9","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 15:00","2018","12","01","15:00","-6.5","","-8.3","","87","","","","19","","7","","","","95.14","","","","-10","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 16:00","2018","12","01","16:00","-7.1","","-8.5","","90","","","","20","","6","","","","95.14","","","","-10","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 17:00","2018","12","01","17:00","-7.4","","-8.8","","90","","","","22","","5","","","","95.16","","","","-10","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 18:00","2018","12","01","18:00","-7.7","","-9.1","","90","","","","18","","5","","","","95.17","","","","-10","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 19:00","2018","12","01","19:00","-8.0","","-9.2","","91","","","","18","","5","","","","95.23","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 20:00","2018","12","01","20:00","-7.8","","-8.7","","93","","","","16","","7","","","","95.27","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 21:00","2018","12","01","21:00","-7.7","","-8.2","","96","","","","17","","7","","","","95.25","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 22:00","2018","12","01","22:00","-8.0","","-8.5","","96","","","","13","","7","","","","95.20","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-01 23:00","2018","12","01","23:00","-7.9","","-8.4","","96","","","","16","","9","","","","95.17","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 00:00","2018","12","02","00:00","-7.9","","-8.4","","96","","","","16","","11","","","","95.14","","","","-13","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 01:00","2018","12","02","01:00","-8.0","","-8.5","","96","","","","18","","9","","","","95.13","","","","-13","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 02:00","2018","12","02","02:00","-8.0","","-8.5","","96","","","","18","","12","","","","95.16","","","","-13","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 03:00","2018","12","02","03:00","-8.2","","-8.7","","96","","","","15","","10","","","","95.13","","","","-13","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 04:00","2018","12","02","04:00","-8.3","","-8.8","","96","","","","13","","6","","","","95.10","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 05:00","2018","12","02","05:00","-8.2","","-8.3","","99","","","","14","","10","","","","95.10","","","","-13","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 06:00","2018","12","02","06:00","-7.9","","-8.2","","98","","","","14","","9","","","","95.03","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 07:00","2018","12","02","07:00","-7.7","","-8.1","","97","","","","15","","10","","","","94.99","","","","-13","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 08:00","2018","12","02","08:00","-7.3","","-7.8","","96","","","","15","","11","","","","94.96","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 09:00","2018","12","02","09:00","-7.0","","-7.5","","96","","","","15","","11","","","","94.92","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 10:00","2018","12","02","10:00","-6.5","","-7.2","","95","","","","14","","12","","","","94.87","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 11:00","2018","12","02","11:00","-5.5","","-7.0","","89","","","","16","","16","","","","94.78","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 12:00","2018","12","02","12:00","-5.8","","-7.0","","91","","","","14","","12","","","","94.73","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 13:00","2018","12","02","13:00","-5.4","","-7.1","","88","","","","13","","7","","","","94.60","","","","-9","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 14:00","2018","12","02","14:00","-4.8","","-6.9","","85","","","","15","","6","","","","94.52","","","","-8","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 15:00","2018","12","02","15:00","-5.3","","-7.0","","88","","","","4","","6","","","","94.38","","","","-8","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 16:00","2018","12","02","16:00","-5.7","","-7.1","","90","","","","6","","11","","","","94.31","","","","-10","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 17:00","2018","12","02","17:00","-6.0","","-7.4","","90","","","","7","","11","","","","94.26","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 18:00","2018","12","02","18:00","-6.3","","-7.7","","90","","","","6","","9","","","","94.11","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 19:00","2018","12","02","19:00","-6.4","","-7.3","","93","","","","4","","9","","","","94.05","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 20:00","2018","12","02","20:00","-6.7","","-7.5","","94","","","","6","","10","","","","93.93","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 21:00","2018","12","02","21:00","-7.2","","-8.0","","94","","","","9","","8","","","","93.83","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 22:00","2018","12","02","22:00","-7.8","","-8.6","","94","","","","5","","8","","","","93.67","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-02 23:00","2018","12","02","23:00","-7.8","","-8.7","","93","","","","7","","9","","","","93.63","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 00:00","2018","12","03","00:00","-7.9","","-8.7","","94","","","","10","","6","","","","93.56","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 01:00","2018","12","03","01:00","-8.0","","-8.8","","94","","","","6","","8","","","","93.47","","","","-12","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 02:00","2018","12","03","02:00","-8.0","","-8.9","","93","","","","9","","5","","","","93.43","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 03:00","2018","12","03","03:00","-8.2","","-9.1","","93","","","","7","","5","","","","93.36","","","","-11","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 04:00","2018","12","03","04:00"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 05:00","2018","12","03","05:00","-10.6","","-11.4","","94","","","","35","","7","","","","93.26","","","","-15","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 06:00","2018","12","03","06:00","-11.7","","-13.0","","90","","","","32","","5","","","","93.27","","","","-15","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 07:00","2018","12","03","07:00","-13.3","","-14.7","","89","","","","34","","5","","","","93.25","","","","-17","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 08:00","2018","12","03","08:00","-13.8","","-14.7","","93","","","","36","","6","","","","93.25","","","","-18","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 09:00","2018","12","03","09:00","-12.9","","-13.7","","94","","","","34","","9","","","","93.28","","","","-18","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 10:00","2018","12","03","10:00","-8.7","","-10.2","","89","","","","33","","8","","","","93.26","","","","-13","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 11:00","2018","12","03","11:00","-6.6","","-8.9","","84","","","","33","","16","","","","93.25","","","","-13","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 12:00","2018","12","03","12:00","-6.1","","-8.5","","83","","","","34","","19","","","","93.25","","","","-13","","NA"
"-71.11","51.53","LAC BENOIT","706I001","2018-12-03 13:00","2018","12","03","13:00","-6.2","","-8.8","","82","","","","34","","18","","","","93.26","","","","-13","","NA"
