"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 09:00","2020","01","02","09:00","","M","","M","","M","","","27","","24","","","","99.99","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 10:00","2020","01","02","10:00","","M","","M","","M","","","27","","33","","","","100.04","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 11:00","2020","01","02","11:00","","M","","M","","M","","","26","","29","","","","100.05","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 12:00","2020","01","02","12:00","","M","","M","","M","","","26","","35","","","","100.00","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 13:00","2020","01","02","13:00","","M","","M","","M","","","28","","32","","","","99.98","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 14:00","2020","01","02","14:00","","M","","M","","M","","","27","","33","","","","99.98","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 15:00","2020","01","02","15:00","","M","","M","","M","","","27","","28","","","","100.05","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 16:00","2020","01","02","16:00","","M","","M","","M","","","27","","35","","","","100.14","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 17:00","2020","01","02","17:00","","M","","M","","M","","","27","","26","","","","100.25","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 18:00","2020","01","02","18:00","","M","","M","","M","","","28","","24","","","","100.32","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 19:00","2020","01","02","19:00","","M","","M","","M","","","28","","34","","","","100.35","","","","","","NA"
